set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,2,2369.011957,844,13,18.27,5,3,,1.261738547,2369.011957,3.374567253,8.655594107,844
,2,1840.239023,895.5,10,24.6,5,3,,1.390935107,1840.239023,3.264874236,7.517650746,895.5
,3,6054.950653,1254,30,6.38,5,3,,0.804820679,6054.950653,3.782110608,12.8637047,1254
,3,5866.558231,1261.5,23,17.83,5,3,,1.251151343,5866.558231,3.768383386,11.81574431,1261.5
,3,5587.154976,1273.5,19,32.96,5,3,,1.517987203,5587.154976,3.747190718,11.03337441,1273.5
,3,5189.437641,1295,16,53.69,5,3,,1.729893404,5189.437641,3.715120298,10.30050064,1295
,3,0,0,13,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,10,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
16,1,2384.483798,635.5,30,0.31,5,3,,-0.508638306,2384.483798,3.377394376,11.48718491,635.5
,1,2325.832373,634,23,0.96,5,3,,-0.017728767,2325.832373,3.366578411,10.55588714,634
,1,2246.956319,634.5,19,1.86,5,3,,0.269512944,2246.956319,3.35159463,9.86856587,634.5
,1,2138.754552,638,16,3.16,5,3,,0.499687083,2138.754552,3.330160947,9.233166685,638
,1,1920.328555,651.5,13,5.73,5,3,,0.758154622,1920.328555,3.28337554,8.421691981,651.5
,1,1548.195375,682,10,8.46,5,3,,0.927370363,1548.195375,3.189825766,7.344845257,682
,2,3741.455304,813.5,30,0.89,5,3,,-0.050609993,3741.455304,3.573040561,12.1526162,813.5
,2,3668.646638,817.5,23,2.72,5,3,,0.434568904,3668.646638,3.564505883,11.17648758,817.5
